nationality
Andorran
Emirati
Afghan
Antiguan, Barbudan
Anguillan
Albanian
Armenian
Dutch Antillean
Angolan
Antarctic
Argentine
American Samoan
Austrian
Australian
Aruban
Aland Island
Azerbaijani
Bosnian
Barbadian
Bangladeshi
Belgian
Burkinabe
Bulgarian
Bahraini
Burundian
Beninese
Barthelemois
Bermudian
Bruneian
Bolivian
Bonaire, Sint Eustatius and Saba
Brazilian
Bahamian
Bhutanese
Bouvet Island
Botswanan
Belarusian
Belizean
Canadian
Cocos Island
Congolese
Central African
Congolese
Swiss
Ivorian
Cook Islanders
Chilean
Cameroonian
Chinese
Colombian
Costa Rican
Serbian; Montenegrin
Cuban
Caho Verdean
Curacaoan
Christmas Islander
Cypriot
Czech
German
Djiboutian
Danish
Dominican
Dominican
Algerian
Ecuadorian
Estonian
Egyptian
Sahrawi
Eritrean
Spanish
Ethiopian
Finnish
Fijian
Falkland Island
Micronesian
Faroese
French
Gabonese
British
Grenadian
Georgian
French Guianese
Channel Islander
Ghanaian
Gibraltar
Greenlandic
Gambian
Guinean
Guadeloupe
Equatorial Guinean
Greek
South Georgian; South Sandwich
Guatemalan
Guamanian
Bissau-Guinean
Guyanese
Hong Kong
Heard Island
Honduran
Croatian
Haitian
Hungarian
Indonesian
Irish
Israeli
Manx
Indian
British
Iraqi
Iranian
Icelandic
Italian
Channel Islander
Jamaican
Jordanian
Japanese
Kenyan
Kyrgyzstani
Cambodian
I-Kiribati
Comorian
Kittitian, Nevisian
North Korean
South Korean
Kuwaiti
Caymanian
Kazakhstani
Laotian
Lebanese
Saint Lucian
Liechtenstein
Sri Lankan
Liberian
Basotho
Lithuanian
Luxembourg
Latvian
Libyan
Moroccan
Monacan
Moldovan
Montenegrin
Saint Martin French part
Malagasy
Marshallese
Macedonian
Malian
Burmese
Mongolian
Macanese
Northern Marianan
Martinican
Mauritanian
Montserratian
Maltese
Mauritian
Maldivian
Malawian
Mexican
Malaysian
Mozambican
Namibian
New Caledonian
Nigerien
Norfolk Island
Nigerian
Nicaraguan
Dutch
Not defined
Nepali
Nauruan
Niuean
New Zealand
Omani
Panamanian
Peruvian
French Polynesian
Papua New Guinean
Philippine
Pakistani
Polish
French
Pitcairn Island
Puerto Rican
Palestinian
Portuguese
Palauan
Paraguayan
Qatari
Reunionese
Romanian
Serbian
Russian
Rwandan
Saudi
Solomon Island
Seychellois
Sudanese
Swedish
Singaporean
Saint Helenian
Slovenian
Svalbard and Jan Mayen
Slovak
Sierra Leonean
Sammarinese
Senegalese
Somali
Surinamese
South Sudanese
Sao Tomean
Salvadoran
Sint Maarten Dutch part
Syrian
Swazi
Turks and Caicos Islander
Chadian
French Southern Territories
Togolese
Thai
Tajikistani
Tokelauan
Timorese
Turkmen
Tunisian
Tongan
Turkish
Trinidadian, Tobagonian
Tuvaluan
Taiwanese
Tanzanian
Ukrainian
Ugandan
American Islander
American
Uruguayan
Uzbekistani
Holy See
Saint Vincentian
Venezuelan
British Virgin Islander
Virgin Islander
Vietnamese
Vanuatuan
Wallis and Futuna
Samoan
Kosovan
Yemeni
Mahoran
South African
Zambian
Zimbabwean
